GameID,GameName,Rank
509658,Just Chatting,1
21779,League of Legends,2
510218,Among Us,3
518204,FIFA 21,4
33214,Fortnite,5
512710,Call Of Duty: Modern Warfare,6
32399,Counter-Strike: Global Offensive,7
27471,Minecraft,8
516575,VALORANT,9
511224,Apex Legends,10
29595,Dota 2,11
138585,Hearthstone,12
32982,Grand Theft Auto V,13
18122,World of Warcraft,14
491487,Dead by Daylight,15
460630,Tom Clancy's Rainbow Six: Siege,16
491931,Escape From Tarkov,17
513143,Teamfight Tactics,18
498566,Slots,19
518203,Sports,20
513181,Genshin Impact,21
488552,Overwatch,22
493057,PLAYERUNKNOWN'S BATTLEGROUNDS,23
30921,Rocket League,24
459931,Old School RuneScape,25
510590,Hades,26
26936,Music,27
490422,StarCraft II,28
497057,Destiny 2,29
518184,Phasmophobia,30
509660,Art,31
65654,The Elder Scrolls Online,32
514207,The Dark Pictures Anthology: Little Hope,33
29307,Path of Exile,34
512895,Watch Dogs: Legion,35
743,Chess,36
27546,World of Tanks,37
497451,Pokémon Sword/Shield,38
19619,Tibia,39
29452,Virtual Casino,40
2748,Magic: The Gathering,41
499987,The Walking Dead: The Telltale Series Collection,42
32502,World of Warships,43
263490,Rust,44
509659,ASMR,45
32507,SMITE,46
499132,They Are Billions,47
517406,Madden NFL 21,48
497410,Metro Exodus,49
502732,Garena Free Fire,50
12924,Warcraft III,51
518023,NBA 2K21,52
12839,Heroes of Might and Magic III: The Restoration of Erathia,53
488634,Don't Starve Together,54
386821,Black Desert Online,55
490377,Sea of Thieves,56
488190,Poker,57
13389,Age of Empires II,58
7664,Black,59
115977,The Witcher 3: Wild Hunt,60
65632,DayZ,61
66082,Games + Demos,62
512864,Eternal Return: Black Survival,63
494925,Raft,64
29433,Dark Souls,65
512980,Fall Guys: Ultimate Knockout,66
500120,Part Time UFO,67
493997,Super Mario Odyssey,68
499003,VRChat,69
509670,Science & Technology,70
522224787,Need for Speed: Hot Pursuit - Remastered,71
510203,Cooking Simulator,72
240666911,Lucky Luke (1997),73
494859,Use Your Words,74
417752,Talk Shows & Podcasts,75
32959,Heroes of the Storm,76
497497,Brawl Stars,77
506415,Sekiro: Shadows Die Twice,78
27284,Retro,79
71375,Star Citizen,80
7022,The Forest,81
497467,Monster Hunter: World,82
494683,theHunter: Call of the Wild,83
6521,Grand Theft Auto: San Andreas,84
509667,Food & Drink,85
490292,Dark Souls III,86
494082,Visage,87
517174,F1 2020,88
509538,Animal Crossing: New Horizons,89
514790,Legends of Runeterra,90
86656582,Higurashi When They Cry Hou - Ch.8 Matsuribayashi,91
499859,Spelunky 2,92
514194,Rogue Company,93
490147,Hollow Knight,94
495062,Octopath Traveler,95
513877,Fight Crab,96
11989,StarCraft,97
493959,Red Dead Redemption 2,98
21465,osu!,99
490100,LOST ARK,100
