id,user_id,user_name,title,description,created_at,published_at,game,url,thumbnail_url,viewable,view_count,language,type,duration
793151603,26154978,Sykkuno,amongus,,2020-11-05T22:48:24Z,2020-11-05T22:48:24Z,Among Us,https://www.twitch.tv/videos/793151603,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/0bc2b57630f6fb9124de_sykkuno_40359264878_1604616494//thumb/thumb0-%{width}x%{height}.jpg,public,784092,en,archive,5h0m24s
793014095,26154978,Sykkuno,I FORGOT IT WAS THURSDAY,,2020-11-05T20:24:17Z,2020-11-05T20:24:17Z,Among Us,https://www.twitch.tv/videos/793014095,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/62a0444d2a71bd5ca5f7_sykkuno_40357784126_1604607848//thumb/thumb0-%{width}x%{height}.jpg,public,479014,en,archive,2h23m7s
792935198,32140000,SypherPK,new footage,,2020-11-05T19:08:36Z,2020-11-05T19:08:36Z,,https://www.twitch.tv/videos/792935198,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/4062d3e497c62dc2a060_sypherpk_84466022549_8804568510//thumb/thumb792935198-%{width}x%{height}.jpg,public,366,en,highlight,24m49s
792929082,207813352,HasanAbi,2020 US PRESIDENTIAL ELECTION - BEDLAM- DAY 3 - !guests,,2020-11-05T19:03:01Z,2020-11-05T19:03:01Z,Election,https://www.twitch.tv/videos/792929082,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/cb3a5fd2db5b3aa85177_hasanabi_40357161150_1604602972//thumb/thumb0-%{width}x%{height}.jpg,public,2712461,en,archive,12h49m26s
792823103,69906737,chocoTaco,TSM chocoTaco || learning,,2020-11-05T17:11:30Z,2020-11-05T17:11:30Z,Rust,https://www.twitch.tv/videos/792823103,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/3592217e9a263aba7ece_chocotaco_40356468398_1604596272//thumb/thumb0-%{width}x%{height}.jpg,public,45145,en,archive,4h52m32s
792772557,110690086,Myth,GENG VS EQUINOX WATCH PARTY [GAME 3] - !socials,,2020-11-05T16:08:00Z,2020-11-05T16:08:00Z,Valorant,https://www.twitch.tv/videos/792772557,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/4c4fc91d9c856665aa52_myth_40356135550_1604592464//thumb/thumb0-%{width}x%{height}.jpg,public,285226,en,archive,7h13m49s
792266429,69906737,chocoTaco,TSM chocoTaco || WE GAME,,2020-11-05T01:04:10Z,2020-11-05T01:04:10Z,Multiple,https://www.twitch.tv/videos/792266429,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/05faba04875d91d8b914_chocotaco_40349089742_1604538232//thumb/thumb0-%{width}x%{height}.jpg,public,38884,en,archive,5h59m16s
792247413,26154978,Sykkuno,chill amongus at 5 !,,2020-11-05T00:47:00Z,2020-11-05T00:47:00Z,Among Us,https://www.twitch.tv/videos/792247413,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/1bfb4102830d7e111961_sykkuno_40348798958_1604537211//thumb/thumb0-%{width}x%{height}.jpg,public,1230888,en,archive,5h32m40s
791917048,207813352,HasanAbi,2020 US PRESIDENTIAL ELECTION - BEDLAM,,2020-11-04T19:01:31Z,2020-11-04T19:01:31Z,Election,https://www.twitch.tv/videos/791917048,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/19e20b7246cfa60b07cc_hasanabi_40345176990_1604516482//thumb/thumb0-%{width}x%{height}.jpg,public,3118966,en,archive,11h52m6s
791809645,69906737,chocoTaco,TSM chocoTaco || smashing you know what,,2020-11-04T17:01:38Z,2020-11-04T17:01:38Z,Teardown,https://www.twitch.tv/videos/791809645,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/fe6034f0dff04998415e_chocotaco_40344426174_1604509280//thumb/thumb0-%{width}x%{height}.jpg,public,44119,en,archive,5h4m59s
791796079,110690086,Myth,VALORANT GAMING ON GODLIEST KEYBINDS - !socials,,2020-11-04T16:46:14Z,2020-11-04T16:46:14Z,Valorant,https://www.twitch.tv/videos/791796079,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/30814623f315c41e25d8_myth_40344340014_1604508358//thumb/thumb0-%{width}x%{height}.jpg,public,435586,en,archive,8h22m29s
791793374,32140000,SypherPK,6'4 Cyber Gaming Machine | @SypherPK | 👹,,2020-11-04T16:42:27Z,2020-11-04T16:42:27Z,Multiple,https://www.twitch.tv/videos/791793374,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/323ce7ba1df1ed258977_sypherpk_40344320638_1604508131//thumb/thumb0-%{width}x%{height}.jpg,public,307184,en,archive,9h35m56s
791362116,32140000,SypherPK,tg 2,,2020-11-04T02:07:13Z,2020-11-04T02:07:13Z,,https://www.twitch.tv/videos/791362116,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/2991e2f62a0e3894b221_sypherpk_75579742791_8839416132//thumb/thumb791362116-%{width}x%{height}.jpg,public,545,en,highlight,12m37s
791295714,32140000,SypherPK,imp 3,,2020-11-04T00:59:31Z,2020-11-04T00:59:31Z,,https://www.twitch.tv/videos/791295714,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/7f459c256d635c2a6d39_sypherpk_47466534254_1155671120//thumb/thumb791295714-%{width}x%{height}.jpg,public,110,en,highlight,10m24s
